t_s,K,D,phase,theta_d,theta,omega,tau_cmd,tau_meas,q_current_A,fet,fault
0.2496,400,28.28,step,10.216534423828126,10.183639526367188,0.0003092832921538502,13.149211131847697,10.889983177185059,2.131335735321045,33.0,0
0.2509,400,28.28,step,10.216534423828126,10.18365478515625,0.00027996135759167373,13.143936965773353,11.432108879089355,2.2374379634857178,33.0,0
0.2521,400,28.28,step,10.216534423828126,10.18365478515625,0.00021219656628090888,13.145853643511815,11.354948997497559,2.222336530685425,33.0,0
0.2533,400,28.28,step,10.216534423828126,10.18365478515625,0.0001466559333493933,13.14770741255138,11.354998588562012,2.222346305847168,33.0,0
0.2546,400,28.28,step,10.216534423828126,10.18365478515625,9.468456846661866e-05,13.149177384732825,11.03808879852295,2.1603221893310547,33.0,0
0.2562,400,28.28,step,10.216534423828126,10.18365478515625,5.205865818425082e-05,13.150383027541421,11.932747840881348,2.335420608520508,33.0,0
0.2575,400,28.28,step,10.216534423828126,10.18365478515625,3.1674131605541334e-05,13.150959589020426,11.20673656463623,2.193329095840454,33.0,0
0.2588,400,28.28,step,10.216534423828126,10.18365478515625,1.9574008547351696e-05,13.151301832183131,10.62919807434082,2.080296039581299,33.0,0
0.26,400,28.28,step,10.216534423828126,10.18365478515625,1.1922161320399027e-05,13.151518259105641,11.35520076751709,2.222385883331299,33.0,0
0.2612,400,28.28,step,10.216534423828126,10.18365478515625,7.453481430275133e-06,13.151644652459773,11.559804916381836,2.262430191040039,33.0,0
0.2625,400,28.28,step,10.216534423828126,10.18365478515625,4.005047685495811e-06,13.151742188895188,10.685315132141113,2.0912790298461914,33.0,0
0.2638,400,28.28,step,10.216534423828126,10.18365478515625,1.9237450032960624e-06,13.1518010570248,10.741406440734863,2.102257013320923,33.0,0
0.265,400,28.28,step,10.216534423828126,10.18365478515625,5.362094270822126e-07,13.151840302457403,10.946009635925293,2.142301082611084,33.0,0
0.2662,400,28.28,step,10.216534423828126,10.18365478515625,-5.044421413913369e-07,13.15186973652864,11.355220794677734,2.2223899364471436,33.0,0
0.2675,400,28.28,step,10.216534423828126,10.18365478515625,-1.2594247209563036e-06,13.151891090660708,11.206703186035156,2.1933226585388184,33.0,0
0.2687,400,28.28,step,10.216534423828126,10.18365478515625,0.00018262983940076083,13.146689916834793,11.060369491577148,2.2046070098876953,33.0,0
0.2699,400,28.28,step,10.216534423828126,10.18365478515625,0.00022656166402157396,13.145447337190822,11.092387199401855,2.1709492206573486,33.0,0
0.2711,400,28.28,step,10.216534423828126,10.18365478515625,0.00018946548516396433,13.146496575575874,11.092185974121094,2.170909881591797,33.0,0
0.2724,400,28.28,step,10.216534423828126,10.18365478515625,0.00013371920795179904,13.148073318401579,11.061811447143555,2.1649651527404785,33.0,0
0.2737,400,28.28,step,10.216534423828126,10.18365478515625,8.823662938084453e-05,13.149359759990915,11.46877670288086,2.244614362716675,33.0,0
0.275,400,28.28,step,10.216534423828126,10.18365478515625,5.560913996305317e-05,13.15028260475173,11.353509902954102,2.222054958343506,33.0,0
0.2763,400,28.28,step,10.216534423828126,10.18365478515625,2.9817307222401723e-05,13.151012107944936,11.468704223632812,2.244600296020508,33.0,0
0.2779,400,28.28,step,10.216534423828126,10.18365478515625,0.00021217619359958917,13.14585421973826,11.090758323669434,2.17063045501709,33.0,0
0.2792,400,28.28,step,10.216534423828126,10.18365478515625,0.00023480526579078287,13.145214172922325,11.469683647155762,2.2447919845581055,33.0,0
0.2806,400,28.28,step,10.216534423828126,10.18365478515625,0.00024331410531885922,13.144973506597113,11.208118438720703,2.1935997009277344,33.0,0
0.2819,400,28.28,step,10.216534423828126,10.18365478515625,0.0003500318853184581,13.141955071960677,11.611425399780273,2.2725329399108887,33.0,0
0.2831,400,28.28,step,10.216534423828126,10.18365478515625,0.00029138807440176606,13.143613769415628,11.530999183654785,2.2567923069000244,33.0,0
0.2844,400,28.28,step,10.216534423828126,10.18365478515625,0.00021131908579263836,13.145878462407959,11.147527694702148,2.181741237640381,33.0,0
0.2857,400,28.28,step,10.216534423828126,10.18365478515625,0.00013975896581541747,13.147902488251896,11.208198547363281,2.193615436553955,33.0,0
0.287,400,28.28,step,10.216534423828126,10.18365478515625,9.048105130204931e-05,13.149296278152502,11.208206176757812,2.1936168670654297,33.0,0
0.2882,400,28.28,step,10.216534423828126,10.18365478515625,5.5955904826987535e-05,13.15027279676026,11.349287986755371,2.22122859954834,33.0,0
0.2894,400,28.28,step,10.216534423828126,10.18365478515625,3.479599399724975e-05,13.150871289417742,10.885706901550293,2.1304988861083984,33.0,0
0.2906,400,28.28,step,10.216534423828126,10.18365478515625,2.1573598132818006e-05,13.151245275248911,10.744538307189941,2.102869987487793,33.0,0
0.2919,400,28.28,step,10.216534423828126,10.18365478515625,1.257502481166739e-05,13.151499793337567,11.591076850891113,2.268550395965576,33.0,0
0.2932,400,28.28,step,10.216534423828126,10.18365478515625,7.5962207120028324e-06,13.15164061518321,11.71185302734375,2.2921881675720215,33.0,0
0.2944,400,28.28,step,10.216534423828126,10.18365478515625,4.229406386002665e-06,13.151735843072847,11.006564140319824,2.1541523933410645,33.0,0
0.2958,400,28.28,step,10.216534423828126,10.18365478515625,2.025674348260509e-06,13.15179817402756,11.006560325622559,2.154151678085327,33.0,0
0.2971,400,28.28,step,10.216534423828126,10.18365478515625,5.565188416767342e-07,13.151839728020413,10.946165084838867,2.14233136177063,33.0,0
0.2984,400,28.28,step,10.216534423828126,10.18365478515625,-5.045376951784419e-07,13.151869739231309,11.409846305847168,2.2330808639526367,33.0,0
0.2997,400,28.28,step,10.216534423828126,10.18365478515625,-1.3003301546632429e-06,13.15189224764109,11.470237731933594,2.2449004650115967,33.0,0
0.3009,400,28.28,step,10.216534423828126,10.18365478515625,-2.0553127342282096e-06,13.151913601773158,11.73227596282959,2.296185255050659,33.0,0
0.3022,400,28.28,step,10.216534423828126,10.18365478515625,-2.1777423171442933e-06,13.151917064604689,10.825389862060547,2.1186938285827637,33.0,0
0.3034,400,28.28,step,10.216534423828126,10.18365478515625,-2.1777423171442933e-06,13.151917064604689,11.551107406616211,2.260727882385254,33.0,0
0.3047,400,28.28,step,10.216534423828126,10.18365478515625,-2.1777423171442933e-06,13.151917064604689,11.409849166870117,2.233081340789795,33.0,0
0.306,400,28.28,step,10.216534423828126,10.18365478515625,-2.1777423171442933e-06,13.151917064604689,10.885778427124023,2.1305127143859863,33.0,0
0.3073,400,28.28,step,10.216534423828126,10.18365478515625,-2.1777423171442933e-06,13.151917064604689,11.00655460357666,2.0910472869873047,33.0,0
0.3085,400,28.28,step,10.216534423828126,10.18365478515625,-2.1777423171442933e-06,13.151917064604689,11.34946060180664,2.2212624549865723,33.0,0
0.3097,400,28.28,step,10.216534423828126,10.18365478515625,-2.1777423171442933e-06,13.151917064604689,11.268589973449707,2.205434799194336,33.0,0
0.311,400,28.28,step,10.216534423828126,10.18365478515625,0.00017075406503863633,13.147025814458125,11.208154678344727,2.1936068534851074,33.0,0
0.3122,400,28.28,step,10.216534423828126,10.18365478515625,0.0002274389553349465,13.145422523645351,11.254887580871582,2.2027530670166016,33.0,0
0.3135,400,28.28,step,10.216534423828126,10.18365478515625,0.00018930215446744114,13.146501195265598,11.470552444458008,2.244961977005005,33.0,0
0.3147,400,28.28,step,10.216534423828126,10.18365478515625,0.00013469856639858335,13.148045617961623,11.069507598876953,2.1814475059509277,33.0,0
0.316,400,28.28,step,10.216534423828126,10.18365478515625,9.103202319238335e-05,13.149280694314106,10.883562088012695,2.1300790309906006,33.0,0
0.3173,400,28.28,step,10.216534423828126,10.18365478515625,5.760872954851948e-05,13.150226047817512,11.178378105163574,2.187778949737549,33.0,0
0.3185,400,28.28,step,10.216534423828126,10.18365478515625,3.638760972535238e-05,13.150826271726766,10.806844711303711,2.1150641441345215,33.0,0
0.3198,400,28.28,step,10.216534423828126,10.18365478515625,2.1879703126614913e-05,13.151236617292238,11.733009338378906,2.2963287830352783,33.0,0
0.3211,400,28.28,step,10.216534423828126,10.18365478515625,1.269748554477701e-05,13.151496329624974,10.482476234436035,2.0515804290771484,33.0,0
0.3223,400,28.28,step,10.216534423828126,10.18365478515625,0.00019205684657208622,13.146423280806907,11.79608154296875,2.3086729049682617,33.0,0
0.3236,400,28.28,step,10.216534423828126,10.18365478515625,0.00023076504294294864,13.145328447681253,11.007975578308105,2.154428720474243,33.0,0
0.3249,400,28.28,step,10.216534423828126,10.18365478515625,0.0001887717080535367,13.146516198555851,11.144068717956543,2.1810641288757324,33.0,0
0.3262,400,28.28,step,10.216534423828126,10.18365478515625,0.0001235167437698692,13.148361887665894,11.270944595336914,2.2058956623077393,33.0,0
0.3278,400,28.28,step,10.216534423828126,10.18365478515625,7.772806566208601e-05,13.149656987057558,10.94461441040039,2.1420278549194336,33.0,0
0.329,400,28.28,step,10.216534423828126,10.18365478515625,4.963048195349984e-05,13.15045170673657,10.881314277648926,2.129639148712158,33.0,0
0.3303,400,28.28,step,10.216534423828126,10.18365478515625,3.0225395676097833e-05,13.15100056546042,11.080978393554688,2.1687164306640625,33.0,0
0.3315,400,28.28,step,10.216534423828126,10.18365478515625,1.804365274438169e-05,13.151345117181767,11.407207489013672,2.2325644493103027,33.0,0
0.3328,400,28.28,step,10.216534423828126,10.18365478515625,1.0391804607934318e-05,13.151561544130002,10.881426811218262,2.1296610832214355,33.0,0
0.3341,400,28.28,step,10.216534423828126,10.18365478515625,5.984338713460602e-06,13.151686206090876,11.081073760986328,2.1687350273132324,33.0,0
0.3353,400,28.28,step,10.216534423828126,10.18365478515625,3.392912731214892e-06,13.151759502686275,11.470489501953125,2.2449498176574707,33.0,0
0.3365,400,28.28,step,10.216534423828126,10.18365478515625,1.43403951824439e-06,13.151814907987571,11.207590103149414,2.1934962272644043,33.0,0
0.3379,400,28.28,step,10.216534423828126,10.18365478515625,-7.592561956926147e-08,13.151857616251103,10.009749412536621,1.959060549736023,33.0,0
0.3392,400,28.28,step,10.216534423828126,10.18365478515625,-8.717181003703445e-07,13.151880124661487,11.270854949951172,2.205878257751465,33.0,0
0.3404,400,28.28,step,10.216534423828126,10.18365478515625,-1.6879154145499342e-06,13.151903210207712,11.454651832580566,2.2418501377105713,33.0,0
0.3418,400,28.28,step,10.216534423828126,10.18365478515625,-2.1164191821299028e-06,13.151915330124504,10.219281196594238,2.0000691413879395,33.0,0
0.3431,400,28.28,step,10.216534423828126,10.18365478515625,-2.1164191821299028e-06,13.151915330124504,11.270854949951172,2.205878257751465,33.0,0
0.3443,400,28.28,step,10.216534423828126,10.18365478515625,-2.1164191821299028e-06,13.151915330124504,11.00796127319336,2.154425859451294,33.0,0
