t_s,pos_deg,vel_rps,tau_cmd,rotor_phase,fault
0.3276,0.011,0.00043033776455558836,1.517,0.3129,0
0.3286,0.011,0.0005629902007058263,1.623,0.3129,0
0.3296,0.011,0.000748654711060226,1.708,0.3129,0
0.3306,0.011,0.0009123430936597288,1.75,0.3129,0
0.3316,0.011,0.0010141432285308838,1.737,0.3129,0
0.3326,0.011,0.0011415922781452537,1.694,0.3129,0
0.3336,0.011,0.0012250893050804734,1.609,0.3129,0
0.3346,0.011,0.0014388511190190911,1.528,0.3129,0
0.3356,0.016,0.00175796402618289,1.442,0.3137,0
0.3366,0.016,0.002078729448840022,1.341,0.3137,0
0.3376,0.016,0.0025730389170348644,1.272,0.3137,0
0.3387,0.016,0.002874031662940979,1.114,0.3137,0
0.3397,0.022,0.002909107832238078,0.881,0.3144,0
0.3407,0.022,0.003020518459379673,0.673,0.3144,0
0.3417,0.022,0.0027905344031751156,0.38,0.3144,0
0.3427,0.022,0.002825855277478695,0.167,0.3144,0
0.3437,0.022,0.002630824688822031,-0.089,0.3144,0
0.3447,0.022,0.002332096453756094,-0.355,0.3144,0
0.3457,0.022,0.0018620279151946306,-0.649,0.3144,0
0.3467,0.022,0.001397652318701148,-0.909,0.3144,0
0.3477,0.022,0.0010108973365277052,-1.116,0.3144,0
0.3487,0.022,0.0007136382628232241,-1.266,0.3144,0
0.3497,0.022,0.0003109672979917377,-1.41,0.3144,0
0.3507,0.022,0.00010999912774423137,-1.46,0.3144,0
0.3517,0.022,2.3074124328559265e-05,-1.441,0.3144,0
0.3527,0.022,-0.00018340337555855513,-1.422,0.3144,0
0.3536,0.022,-0.00028116340399719775,-1.342,0.3144,0
0.3546,0.022,-0.00042973170639015734,-1.243,0.3144,0
0.3556,0.022,-0.0006164368242025375,-1.123,0.3144,0
0.3567,0.022,-0.0005804425454698503,-0.917,0.3144,0
0.3576,0.022,-0.0004735003167297691,-0.678,0.3144,0
0.3586,0.022,-0.0003598857147153467,-0.422,0.3144,0
0.3596,0.022,-0.0002621868916321546,-0.168,0.3144,0
0.3606,0.022,-0.00018566839571576566,0.092,0.3144,0
0.3616,0.022,-0.00012904471077490598,0.34,0.3144,0
0.3627,0.022,-8.87041533133015e-05,0.582,0.3144,0
0.3637,0.022,-6.03617045271676e-05,0.811,0.3144,0
0.3647,0.022,-3.924259726773016e-05,1.003,0.3144,0
0.3657,0.022,0.00014642186579294503,1.215,0.3144,0
0.3667,0.022,0.0003557152522262186,1.406,0.3144,0
0.3677,0.022,0.000620530394371599,1.58,0.3144,0
0.3687,0.022,0.0006108584348112345,1.641,0.3144,0
0.3697,0.022,0.0005198931903578341,1.645,0.3144,0
0.3706,0.022,0.0006587895331904292,1.679,0.3144,0
0.3716,0.022,0.0009345009457319975,1.715,0.3144,0
0.3727,0.022,0.0010432183044031262,1.663,0.3144,0
0.3737,0.027,0.0012288214638829231,1.601,0.3152,0
0.3747,0.027,0.0014116085367277265,1.509,0.3152,0
0.3757,0.027,0.0017752854619175196,1.44,0.3152,0
0.3767,0.027,0.0019578279461711645,1.3,0.3152,0
0.3776,0.027,0.0022405178751796484,1.173,0.3152,0
0.3786,0.027,0.0021739162039011717,0.937,0.3152,0
0.3796,0.033,0.0019902719650417566,0.65,0.3159,0
0.3806,0.033,0.001809443230740726,0.359,0.3159,0
0.3817,0.033,0.0014152810908854008,0.012,0.3159,0
0.3826,0.033,0.0010606023715808988,-0.304,0.3159,0
0.3836,0.033,0.0007660367991775274,-0.59,0.3159,0
0.3846,0.033,0.0005598653224296868,-0.837,0.3159,0
0.3856,0.033,0.0003889536310452968,-1.051,0.3159,0
0.3866,0.033,0.0002670137328095734,-1.22,0.3159,0
0.3876,0.033,0.0001816191361285746,-1.347,0.3159,0
0.3887,0.033,-3.9841283978603315e-06,-1.468,0.3159,0
0.3897,0.027,-0.0002317643811693415,-1.564,0.3152,0
0.3907,0.027,-0.00038014905294403434,-1.599,0.3152,0
0.3918,0.027,-0.0005238201702013612,-1.589,0.3152,0
0.3928,0.027,-0.000526636082213372,-1.503,0.3152,0
0.3939,0.027,-0.0006261712987907231,-1.406,0.3152,0
0.3949,0.027,-0.0006197437760420144,-1.257,0.3152,0
0.3959,0.027,-0.0007154837949201465,-1.111,0.3152,0
0.3969,0.027,-0.0007762087625451386,-0.923,0.3152,0
0.3979,0.027,-0.0006649201968684793,-0.675,0.3152,0
0.3989,0.027,-0.0005199023871682584,-0.406,0.3152,0
0.3999,0.027,-0.0003852297959383577,-0.132,0.3152,0
0.4009,0.027,-0.0002762674994301051,0.13,0.3152,0
0.4019,0.027,-0.00020121816487517208,0.379,0.3152,0
0.4029,0.027,-0.00013914635928813368,0.613,0.3152,0
0.4039,0.027,-9.5194140158128e-05,0.831,0.3152,0
0.4049,0.027,2.0012103050248697e-05,1.047,0.3152,0
0.4059,0.027,0.0001718860148685053,1.242,0.3152,0
0.4068,0.027,0.0003806284221354872,1.426,0.3152,0
0.4078,0.027,0.0005468266317620873,1.568,0.3152,0
0.4088,0.027,0.0005713124992325902,1.636,0.3152,0
0.4098,0.027,0.0005461532273329794,1.654,0.3152,0
0.4108,0.027,0.000776320812292397,1.708,0.3152,0
0.4118,0.033,0.0008540636044926941,1.684,0.3159,0
0.4127,0.033,0.000979737495072186,1.641,0.3159,0
0.4138,0.033,0.0009196247556246817,1.507,0.3159,0
0.4148,0.033,0.00109310750849545,1.405,0.3159,0
0.4158,0.033,0.0014783934457227588,1.343,0.3159,0
0.4167,0.033,0.001570582971908152,1.179,0.3159,0
0.4177,0.033,0.0016512642614543438,0.998,0.3159,0
0.4187,0.033,0.0014714152785018086,0.729,0.3159,0
